Sex,Embarked,Age,Pclass,SibSp,Parch,Fare,Survived
male,S,22,3,1,0,7.25,0
female,C,38,1,1,0,71.2833,1
female,S,26,3,0,0,7925,1
female,S,35,1,1,0,53.1,1
male,S,35,3,0,0,8.05,0
male,Q,,3,0,0,8.4583,0
male,S,54,1,0,0,51.8625,0
male,S,2,3,3,1,21075,0
female,S,27,3,0,2,11.1333,1
female,C,14,2,1,0,30.0708,1
female,S,4,3,1,1,16.7,1
female,S,58,1,0,0,26.55,1
male,S,20,3,0,0,8.05,0
male,S,39,3,1,5,31275,0
female,S,14,3,0,0,7.8542,0
female,S,55,2,0,0,16,1
male,Q,2,3,4,1,29125,0
male,S,,2,0,0,13,1
female,S,31,3,1,0,18,0
female,C,,3,0,0,7225,1
male,S,35,2,0,0,26,0
male,S,34,2,0,0,13,1
female,Q,15,3,0,0,8.0292,1
male,S,28,1,0,0,35.5,1
female,S,8,3,3,1,21075,0
female,S,38,3,1,5,31.3875,1
male,C,,3,0,0,7225,0
male,S,19,1,3,2,263,0
female,Q,,3,0,0,7.8792,1
male,S,,3,0,0,7.8958,0
male,C,40,1,0,0,27.7208,0
female,C,,1,1,0,146.5208,1
female,Q,,3,0,0,7.75,1
male,S,66,2,0,0,10.5,0
male,C,28,1,1,0,82.1708,0
male,S,42,1,1,0,52,0
male,C,,3,0,0,7.2292,1
male,S,21,3,0,0,8.05,0
female,S,18,3,2,0,18,0
female,C,14,3,1,0,11.2417,1
female,S,40,3,1,0,9475,0
female,S,27,2,1,0,21,0
male,C,,3,0,0,7.8958,0
female,C,3,2,1,2,41.5792,1
female,Q,19,3,0,0,7.8792,1
male,S,,3,0,0,8.05,0
male,Q,,3,1,0,15.5,0
female,Q,,3,0,0,7.75,1
male,C,,3,2,0,21.6792,0
female,S,18,3,1,0,17.8,0
male,S,7,3,4,1,39.6875,0
male,S,21,3,0,0,7.8,0
female,C,49,1,1,0,76.7292,1
female,S,29,2,1,0,26,1
male,C,65,1,0,1,61.9792,0
male,S,,1,0,0,35.5,1
female,S,21,2,0,0,10.5,1
male,C,28.5,3,0,0,7.2292,0
female,S,5,2,1,2,27.75,1
male,S,11,3,5,2,46.9,0
male,C,22,3,0,0,7.2292,0
female,S,38,1,0,0,80,1
male,S,45,1,1,0,83475,0
male,S,4,3,3,2,27.9,0
male,C,,1,0,0,27.7208,0
male,C,,3,1,1,15.2458,1
female,S,29,2,0,0,10.5,1
male,S,19,3,0,0,8.1583,0
female,S,17,3,4,2,7925,1
male,S,26,3,2,0,8.6625,0
male,S,32,2,0,0,10.5,0
female,S,16,3,5,2,46.9,0
male,S,21,2,0,0,73.5,0
male,C,26,3,1,0,14.4542,0
male,S,32,3,0,0,56.4958,1
male,S,25,3,0,0,7.65,0
male,S,,3,0,0,7.8958,0
male,S,,3,0,0,8.05,0
male,S,0.83,2,0,2,29,1
female,S,30,3,0,0,12475,1
male,S,22,3,0,0,9,0
male,S,29,3,0,0,9.5,1
female,Q,,3,0,0,7.7875,1
male,S,28,1,0,0,47.1,0
female,S,17,2,0,0,10.5,1
female,S,33,3,3,0,15.85,1
male,S,16,3,1,3,34375,0
male,S,,3,0,0,8.05,0
female,S,23,1,3,2,263,1
male,S,24,3,0,0,8.05,0
male,S,29,3,0,0,8.05,0
male,S,20,3,0,0,7.8542,0
male,S,46,1,1,0,61175,0
male,S,26,3,1,2,20575,0
male,S,59,3,0,0,7.25,0
male,S,,3,0,0,8.05,0
male,C,71,1,0,0,34.6542,0
male,C,23,1,0,1,63.3583,1
female,S,34,2,0,1,23,1
male,S,34,2,1,0,26,0
female,S,28,3,0,0,7.8958,0
male,S,,3,0,0,7.8958,0
male,S,21,1,0,1,77.2875,0
male,S,33,3,0,0,8.6542,0
male,S,37,3,2,0,7925,0
male,S,28,3,0,0,7.8958,0
female,S,21,3,0,0,7.65,1
male,S,,3,0,0,7775,1
male,S,38,3,0,0,7.8958,0
female,Q,,3,1,0,24.15,1
male,S,47,1,0,0,52,0
female,C,14.5,3,1,0,14.4542,0
male,S,22,3,0,0,8.05,0
female,S,20,3,1,0,9825,0
female,C,17,3,0,0,14.4583,0
male,S,21,3,0,0,7925,0
male,Q,70.5,3,0,0,7.75,0
male,S,29,2,1,0,21,0
male,C,24,1,0,1,247.5208,0
female,S,2,3,4,2,31275,0
male,S,21,2,2,0,73.5,0
male,S,,3,0,0,8.05,0
male,C,32.5,2,1,0,30.0708,0
female,S,32.5,2,0,0,13,1
male,S,54,1,0,1,77.2875,0
male,C,12,3,1,0,11.2417,1
male,Q,,3,0,0,7.75,0
male,S,24,3,0,0,7.1417,1
female,C,,3,1,1,22.3583,1
male,S,45,3,0,0,6975,0
male,C,33,3,0,0,7.8958,0
male,S,20,3,0,0,7.05,0
female,S,47,3,1,0,14.5,0
female,S,29,2,1,0,26,1
male,S,25,2,0,0,13,0
male,C,23,2,0,0,15.0458,0
female,S,19,1,0,2,26.2833,1
male,S,37,1,1,0,53.1,0
male,S,16,3,0,0,9.2167,0
male,C,24,1,0,0,79.2,0
female,C,,3,0,2,15.2458,0
female,S,22,3,0,0,7.75,1
female,S,24,3,1,0,15.85,1
male,Q,19,3,0,0,6.75,0
male,S,18,2,0,0,11.5,0
male,S,19,2,1,1,36.75,0
male,S,27,3,0,0,7.7958,1
female,S,9,3,2,2,34375,0
male,S,36.5,2,0,2,26,0
male,S,42,2,0,0,13,0
male,S,51,2,0,0,12525,0
female,S,22,1,1,0,66.6,1
male,S,55.5,3,0,0,8.05,0
male,S,40.5,3,0,2,14.5,0
male,S,,3,0,0,7.3125,0
male,C,51,1,0,1,61.3792,0
female,Q,16,3,0,0,7.7333,1
male,S,30,3,0,0,8.05,0
male,S,,3,0,0,8.6625,0
male,S,,3,8,2,69.55,0
male,S,44,3,0,1,16.1,0
female,S,40,2,0,0,15.75,1
male,S,26,3,0,0,7775,0
male,S,17,3,0,0,8.6625,0
male,S,1,3,4,1,39.6875,0
male,S,9,3,0,2,20525,1
female,S,,1,0,1,55,1
female,S,45,3,1,4,27.9,0
male,S,,1,0,0,25925,0
male,S,28,3,0,0,56.4958,0
male,S,61,1,0,0,33.5,0
male,Q,4,3,4,1,29125,0
female,S,1,3,1,1,11.1333,1
male,S,21,3,0,0,7925,0
male,C,56,1,0,0,30.6958,0
male,S,18,3,1,1,7.8542,0
male,S,,3,3,1,25.4667,0
female,C,50,1,0,0,28.7125,0
male,S,30,2,0,0,13,0
male,S,36,3,0,0,0,0
female,S,,3,8,2,69.55,0
male,C,,2,0,0,15.05,0
male,S,9,3,4,2,31.3875,0
male,S,1,2,2,1,39,1
female,S,4,3,0,2,22025,1
male,S,,1,0,0,50,0
female,Q,,3,1,0,15.5,1
male,S,45,1,0,0,26.55,1
male,Q,40,3,1,1,15.5,0
male,S,36,3,0,0,7.8958,0
female,S,32,2,0,0,13,1
male,S,19,2,0,0,13,0
female,S,19,3,1,0,7.8542,1
male,S,3,2,1,1,26,1
female,C,44,1,0,0,27.7208,1
female,C,58,1,0,0,146.5208,1
male,Q,,3,0,0,7.75,0
male,S,42,3,0,1,8.4042,0
female,Q,,3,0,0,7.75,1
female,S,24,2,0,0,13,0
male,S,28,3,0,0,9.5,0
male,S,,3,8,2,69.55,0
male,S,34,3,0,0,6.4958,0
male,C,45.5,3,0,0,7225,0
male,S,18,3,0,0,8.05,1
female,S,2,3,0,1,10.4625,0
male,S,32,3,1,0,15.85,0
male,C,26,3,0,0,18.7875,1
female,Q,16,3,0,0,7.75,1
male,C,40,1,0,0,31,1
male,S,24,3,0,0,7.05,0
female,S,35,2,0,0,21,1
male,S,22,3,0,0,7.25,0
male,S,30,2,0,0,13,0
male,Q,,3,1,0,7.75,0
female,C,31,1,1,0,113275,1
female,S,27,3,0,0,7925,1
male,S,42,2,1,0,27,0
female,C,32,1,0,0,76.2917,1
male,S,30,2,0,0,10.5,0
male,S,16,3,0,0,8.05,1
male,S,27,2,0,0,13,0
male,S,51,3,0,0,8.05,0
male,S,,3,0,0,7.8958,0
male,S,38,1,1,0,90,1
male,S,22,3,0,0,9.35,0
male,S,19,2,0,0,10.5,1
male,S,20.5,3,0,0,7.25,0
male,S,18,2,0,0,13,0
female,S,,3,3,1,25.4667,0
female,S,35,1,1,0,83475,1
male,S,29,3,0,0,7775,0
male,S,59,2,0,0,13.5,0
female,S,5,3,4,2,31.3875,1
male,S,24,2,0,0,10.5,0
female,S,,3,0,0,7.55,0
male,S,44,2,1,0,26,0
female,S,8,2,0,2,26.25,1
male,S,19,2,0,0,10.5,0
male,S,33,2,0,0,12275,0
female,C,,3,1,0,14.4542,0
female,Q,,3,1,0,15.5,1
male,S,29,2,0,0,10.5,0
male,S,22,3,0,0,7125,0
male,C,30,3,0,0,7225,0
male,Q,44,1,2,0,90,0
female,S,25,3,0,0,7775,0
female,S,24,2,0,2,14.5,1
male,S,37,1,1,1,52.5542,1
male,S,54,2,1,0,26,0
male,S,,3,0,0,7.25,0
female,S,29,3,1,1,10.4625,0
male,S,62,1,0,0,26.55,0
male,S,30,3,1,0,16.1,0
female,S,41,3,0,2,20.2125,0
female,C,29,3,0,2,15.2458,1
female,C,,1,0,0,79.2,1
female,S,30,1,0,0,86.5,1
female,C,35,1,0,0,512.3292,1
female,S,50,2,0,1,26,1
male,Q,,3,0,0,7.75,0
male,S,3,3,4,2,31.3875,1
male,S,52,1,1,1,79.65,0
male,S,40,1,0,0,0,0
female,Q,,3,0,0,7.75,0
male,S,36,2,0,0,10.5,0
male,S,16,3,4,1,39.6875,0
male,S,25,3,1,0,7775,1
female,S,58,1,0,1,153.4625,1
female,S,35,1,0,0,135.6333,1
male,S,,1,0,0,31,0
male,S,25,3,0,0,0,1
female,S,41,2,0,1,19.5,1
male,C,37,1,0,1,29.7,0
female,Q,,3,0,0,7.75,1
female,S,63,1,1,0,77.9583,1
female,S,45,3,0,0,7.75,0
male,S,,2,0,0,0,0
male,Q,7,3,4,1,29125,0
female,S,35,3,1,1,20.25,1
male,Q,65,3,0,0,7.75,0
male,S,28,3,0,0,7.8542,0
male,S,16,3,0,0,9.5,0
male,S,19,3,0,0,8.05,1
male,S,,1,0,0,26,0
male,C,33,3,0,0,8.6625,0
male,S,30,3,0,0,9.5,1
male,S,22,3,0,0,7.8958,0
male,S,42,2,0,0,13,1
female,Q,22,3,0,0,7.75,1
female,S,26,1,0,0,78.85,1
female,C,19,1,1,0,91.0792,1
male,C,36,2,0,0,12875,0
female,S,24,3,0,0,8.85,0
male,S,24,3,0,0,7.8958,0
male,C,,1,0,0,27.7208,0
male,C,23.5,3,0,0,7.2292,0
female,S,2,1,1,2,151.55,0
male,S,,1,0,0,30.5,1
female,C,50,1,0,1,247.5208,1
female,Q,,3,0,0,7.75,1
male,Q,,3,2,0,23.25,1
male,S,19,3,0,0,0,0
female,Q,,2,0,0,12.35,1
male,S,,3,0,0,8.05,0
male,S,0.92,1,1,2,151.55,1
female,C,,1,0,0,110.8833,1
female,C,17,1,1,0,108.9,1
male,C,30,2,1,0,24,0
female,C,30,1,0,0,56.9292,1
female,C,24,1,0,0,83.1583,1
female,C,18,1,2,2,262375,1
female,S,26,2,1,1,26,0
male,S,28,3,0,0,7.8958,0
male,S,43,2,1,1,26.25,0
female,S,26,3,0,0,7.8542,1
female,S,24,2,1,0,26,1
male,S,54,2,0,0,14,0
female,S,31,1,0,2,164.8667,1
female,C,40,1,1,1,134.5,1
male,S,22,3,0,0,7.25,0
male,S,27,3,0,0,7.8958,0
female,Q,30,2,0,0,12.35,1
female,S,22,2,1,1,29,1
male,S,,3,8,2,69.55,0
female,C,36,1,0,0,135.6333,1
male,S,61,3,0,0,6.2375,0
female,S,36,2,0,0,13,1
female,S,31,3,1,1,20525,1
female,C,16,1,0,1,57.9792,1
female,Q,,3,2,0,23.25,1
male,S,45.5,1,0,0,28.5,0
male,S,38,1,0,1,153.4625,0
male,S,16,3,2,0,18,0
female,S,,1,1,0,133.65,1
male,S,,3,0,0,7.8958,0
male,S,29,1,1,0,66.6,0
female,C,41,1,0,0,134.5,1
male,S,45,3,0,0,8.05,1
male,S,45,1,0,0,35.5,0
male,S,2,2,1,1,26,1
female,S,24,1,3,2,263,1
male,S,28,2,0,0,13,0
male,S,25,2,0,0,13,0
male,S,36,2,0,0,13,0
female,S,24,2,0,0,13,1
female,S,40,2,0,0,13,1
female,S,,3,1,0,16.1,1
male,S,3,3,1,1,15.9,1
male,S,42,3,0,0,8.6625,0
male,S,23,3,0,0,9225,0
male,S,,1,0,0,35,0
male,C,15,3,1,1,7.2292,0
male,S,25,3,1,0,17.8,0
male,C,,3,0,0,7225,0
male,S,28,3,0,0,9.5,0
female,S,22,1,0,1,55,1
female,S,38,2,0,0,13,0
female,Q,,3,0,0,7.8792,1
female,Q,,3,0,0,7.8792,1
male,S,40,3,1,4,27.9,0
male,C,29,2,1,0,27.7208,0
female,C,45,3,0,1,14.4542,0
male,S,35,3,0,0,7.05,0
male,Q,,3,1,0,15.5,0
male,S,30,3,0,0,7.25,0
female,C,60,1,1,0,75.25,1
female,C,,3,0,0,7.2292,1
female,Q,,3,0,0,7.75,1
female,C,24,1,0,0,69.3,1
male,C,25,1,1,0,55.4417,1
male,S,18,3,1,0,6.4958,0
male,S,19,3,0,0,8.05,0
male,C,22,1,0,0,135.6333,0
female,S,3,3,3,1,21075,0
female,C,,1,1,0,82.1708,1
female,S,22,3,0,0,7.25,1
male,C,27,1,0,2,211.5,0
male,C,20,3,0,0,4.0125,0
male,S,19,3,0,0,7775,0
female,C,42,1,0,0,227525,1
female,C,1,3,0,2,15.7417,1
male,S,32,3,0,0,7925,0
female,S,35,1,1,0,52,1
male,S,,3,0,0,7.8958,0
male,S,18,2,0,0,73.5,0
male,S,1,3,5,2,46.9,0
female,S,36,2,0,0,13,1
male,Q,,3,0,0,7.7292,0
female,C,17,2,0,0,12,1
male,S,36,1,1,2,120,1
male,S,21,3,0,0,7.7958,1
male,S,28,3,2,0,7925,0
female,C,23,1,1,0,113275,1
female,S,24,3,0,2,16.7,1
male,S,22,3,0,0,7.7958,0
female,S,31,3,0,0,7.8542,0
male,S,46,2,0,0,26,0
male,S,23,2,0,0,10.5,0
female,S,28,2,0,0,12.65,1
male,S,39,3,0,0,7925,1
male,S,26,3,0,0,8.05,0
female,S,21,3,1,0,9825,0
male,S,28,3,1,0,15.85,0
female,S,20,3,0,0,8.6625,0
male,S,34,2,1,0,21,0
male,S,51,3,0,0,7.75,0
male,S,3,2,1,1,18.75,1
male,S,21,3,0,0,7775,0
female,S,,3,3,1,25.4667,0
male,S,,3,0,0,7.8958,0
male,Q,,3,0,0,6.8583,0
female,Q,33,1,1,0,90,1
male,S,,2,0,0,0,0
male,S,44,3,0,0,7925,1
female,S,,3,0,0,8.05,0
female,S,34,2,1,1,32.5,1
female,S,18,2,0,2,13,1
male,S,30,2,0,0,13,0
female,S,10,3,0,2,24.15,0
male,C,,3,0,0,7.8958,0
male,Q,21,3,0,0,7.7333,0
male,S,29,3,0,0,7875,0
female,S,28,3,1,1,14.4,0
male,S,18,3,1,1,20.2125,0
male,S,,3,0,0,7.25,0
female,S,28,2,1,0,26,1
female,S,19,2,0,0,26,1
male,Q,,3,0,0,7.75,0
male,S,32,3,0,0,8.05,1
male,S,28,1,0,0,26.55,1
female,S,,3,1,0,16.1,1
female,S,42,2,1,0,26,1
male,S,17,3,0,0,7125,0
male,S,50,1,1,0,55.9,0
female,S,14,1,1,2,120,1
female,S,21,3,2,2,34375,0
female,S,24,2,2,3,18.75,1
male,S,64,1,1,4,263,0
male,S,31,2,0,0,10.5,0
female,S,45,2,1,1,26.25,1
male,S,20,3,0,0,9.5,0
male,S,25,3,1,0,7775,0
female,S,28,2,0,0,13,1
