Sex,Embarked,Age,Pclass,SibSp,Parch,Fare,Survived
male,S,,3,0,0,8.1125,1
male,S,4,1,0,2,81.8583,1
female,S,13,2,0,1,19.5,1
male,S,34,1,0,0,26.55,1
female,C,5,3,2,1,19.2583,1
male,S,52,1,0,0,30.5,1
male,S,36,2,1,2,27.75,0
male,S,,3,1,0,19.9667,0
male,C,30,1,0,0,27.75,0
male,C,49,1,1,0,89.1042,1
male,S,,3,0,0,8.05,0
male,C,29,3,0,0,7.8958,1
male,S,65,1,0,0,26.55,0
female,S,,1,1,0,51.8625,1
female,S,50,2,0,0,10.5,1
male,Q,,3,0,0,7.75,0
male,S,48,1,0,0,26.55,1
male,S,34,3,0,0,8.05,0
male,S,47,1,0,0,38.5,0
male,S,48,2,0,0,13,0
male,S,,3,0,0,8.05,0
male,S,38,3,0,0,7.05,0
male,S,,2,0,0,0,0
male,S,56,1,0,0,26.55,0
male,Q,,3,0,0,7725,0
female,C,0.75,3,2,1,19.2583,1
male,S,,3,0,0,7.25,0
male,S,38,3,0,0,8.6625,0
female,S,33,2,1,2,27.75,1
female,C,23,2,0,0,13.7917,1
female,S,22,3,0,0,9.8375,0
male,S,,1,0,0,52,0
male,S,34,2,1,0,21,0
male,S,29,3,1,0,7.0458,0
male,S,22,3,0,0,7.5208,0
female,S,2,3,0,1,12.2875,1
male,S,9,3,5,2,46.9,0
male,S,,2,0,0,0,0
male,S,50,3,0,0,8.05,0
female,S,63,3,0,0,9.5875,1
male,C,25,1,1,0,91.0792,1
female,S,,3,3,1,25.4667,0
female,S,35,1,1,0,90,1
male,C,58,1,0,0,29.7,0
male,S,30,3,0,0,8.05,0
male,S,9,3,1,1,15.9,1
male,S,,3,1,0,19.9667,0
male,S,21,3,0,0,7.25,0
male,S,55,1,0,0,30.5,0
male,C,71,1,0,0,49.5042,0
male,S,21,3,0,0,8.05,0
male,C,,3,0,0,14.4583,0
female,C,54,1,1,0,78.2667,1
male,S,,3,0,0,15.1,0
female,S,25,1,1,2,151.55,0
male,S,24,3,0,0,7.7958,0
male,S,17,3,0,0,8.6625,0
female,Q,21,3,0,0,7.75,0
female,Q,,3,0,0,7.6292,0
female,S,37,3,0,0,9.5875,0
female,S,16,1,0,0,86.5,1
male,C,18,1,1,0,108.9,0
female,S,33,2,0,2,26,1
male,S,,1,0,0,26.55,1
male,S,28,3,0,0,22525,0
male,S,26,3,0,0,56.4958,1
male,Q,29,3,0,0,7.75,1
male,S,,3,0,0,8.05,0
male,S,36,1,0,0,26.2875,1
female,C,54,1,1,0,59.4,1
male,S,24,3,0,0,7.4958,0
male,S,47,1,0,0,34.0208,0
female,S,34,2,0,0,10.5,1
male,Q,,3,0,0,24.15,0
female,S,36,2,1,0,26,1
male,S,32,3,0,0,7.8958,0
female,S,30,1,0,0,93.5,1
male,S,22,3,0,0,7.8958,0
male,C,,3,0,0,7225,0
female,C,44,1,0,1,57.9792,1
male,C,,3,0,0,7.2292,0
male,Q,40.5,3,0,0,7.75,0
female,S,50,2,0,0,10.5,1
male,S,,1,0,0,221.7792,0
male,S,39,3,0,0,7925,0
male,S,23,2,2,1,11.5,0
female,S,2,2,1,1,26,1
male,C,,3,0,0,7.2292,0
male,C,17,3,1,1,7.2292,0
female,C,,3,0,2,22.3583,1
female,S,30,3,0,0,8.6625,0
female,S,7,2,0,2,26.25,1
male,S,45,1,0,0,26.55,0
female,C,30,1,0,0,106425,1
male,S,,3,0,0,14.5,0
female,C,22,1,0,2,49.5,1
female,S,36,1,0,2,71,1
female,S,9,3,4,2,31275,0
female,S,11,3,4,2,31275,0
male,S,32,2,1,0,26,1
male,C,50,1,1,0,106425,0
male,S,64,1,0,0,26,0
female,S,19,2,1,0,26,1
male,C,,2,0,0,13.8625,1
male,S,33,3,1,1,20525,0
male,S,8,2,1,1,36.75,1
male,C,17,1,0,2,110.8833,1
male,S,27,2,0,0,26,0
male,Q,,3,0,0,7.8292,0
male,C,22,3,0,0,7225,1
female,S,22,3,0,0,7775,1
male,S,62,1,0,0,26.55,0
female,C,48,1,1,0,39.6,1
male,C,,1,0,0,227525,0
female,S,39,1,1,1,79.65,1
female,S,36,3,1,0,17.4,1
male,Q,,3,0,0,7.75,0
male,S,40,3,0,0,7.8958,0
male,S,28,2,0,0,13.5,0
male,S,,3,0,0,8.05,0
female,S,,3,0,0,8.05,0
male,S,24,3,2,0,24.15,0
male,S,19,3,0,0,7.8958,0
female,S,29,3,0,4,21075,0
male,C,,3,0,0,7.2292,0
male,S,32,3,0,0,7.8542,1
male,S,62,2,0,0,10.5,1
female,S,53,1,2,0,51.4792,1
male,S,36,1,0,0,26.3875,1
female,Q,,3,0,0,7.75,1
male,S,16,3,0,0,8.05,0
male,S,19,3,0,0,14.5,0
female,S,34,2,0,0,13,1
female,S,39,1,1,0,55.9,1
female,C,,3,1,0,14.4583,0
male,S,32,3,0,0,7925,1
female,S,25,2,1,1,30,1
female,C,39,1,1,1,110.8833,1
male,S,54,2,0,0,26,0
male,C,36,1,0,0,40125,0
male,C,,3,0,0,8.7125,0
female,S,18,1,0,2,79.65,1
male,S,47,2,0,0,15,0
male,C,60,1,1,1,79.2,1
male,S,22,3,0,0,8.05,0
male,S,,3,0,0,8.05,0
male,S,35,3,0,0,7125,0
female,C,52,1,1,0,78.2667,1
male,S,47,3,0,0,7.25,0
female,Q,,3,0,2,7.75,0
male,S,37,2,1,0,26,0
male,S,36,3,1,1,24.15,0
female,S,,2,0,0,33,1
male,S,49,3,0,0,0,0
male,C,,3,0,0,7225,0
male,C,49,1,1,0,56.9292,1
female,S,24,2,2,1,27,1
male,S,,3,0,0,7.8958,0
male,S,,1,0,0,42.4,0
male,S,44,3,0,0,8.05,0
male,C,35,1,0,0,26.55,1
male,S,36,3,1,0,15.55,0
male,S,30,3,0,0,7.8958,0
male,S,27,1,0,0,30.5,1
female,C,22,2,1,2,41.5792,1
female,S,40,1,0,0,153.4625,1
female,S,39,3,1,5,31275,0
male,S,,3,0,0,7.05,0
female,Q,,3,1,0,15.5,1
male,Q,,3,0,0,7.75,0
male,S,35,3,0,0,8.05,0
female,S,24,2,1,2,65,1
male,S,34,3,1,1,14.4,0
female,S,26,3,1,0,16.1,0
female,S,4,2,2,1,39,1
male,S,26,2,0,0,10.5,0
male,C,27,3,1,0,14.4542,0
male,S,42,1,1,0,52.5542,1
male,C,20,3,1,1,15.7417,1
male,S,21,3,0,0,7.8542,0
male,S,21,3,0,0,16.1,0
male,S,61,1,0,0,32.3208,0
male,Q,57,2,0,0,12.35,0
female,S,21,1,0,0,77.9583,1
male,S,26,3,0,0,7.8958,0
male,Q,,3,0,0,7.7333,0
male,S,80,1,0,0,30,1
male,S,51,3,0,0,7.0542,0
male,C,32,1,0,0,30.5,1
male,S,,1,0,0,0,0
female,S,9,3,3,2,27.9,0
female,S,28,2,0,0,13,1
male,S,32,3,0,0,7925,0
male,S,31,2,1,1,26.25,0
female,S,41,3,0,5,39.6875,0
male,S,,3,1,0,16.1,0
male,S,20,3,0,0,7.8542,0
female,C,24,1,0,0,69.3,1
female,S,2,3,3,2,27.9,0
male,S,,3,0,0,56.4958,1
female,C,0.75,3,2,1,19.2583,1
male,C,48,1,1,0,76.7292,1
male,S,19,3,0,0,7.8958,0
male,C,56,1,0,0,35.5,1
male,S,,3,0,0,7.55,0
female,S,23,3,0,0,7.55,1
male,S,,3,0,0,7.8958,0
female,S,18,2,0,1,23,1
male,S,21,3,0,0,8.4333,0
female,Q,,3,0,0,7.8292,1
female,Q,18,3,0,0,6.75,0
male,S,24,2,2,0,73.5,0
male,S,,3,0,0,7.8958,0
female,Q,32,3,1,1,15.5,0
male,S,23,2,0,0,13,0
male,C,58,1,0,2,113275,0
male,S,50,1,2,0,133.65,1
male,C,40,3,0,0,7225,0
male,S,47,1,0,0,25.5875,0
male,S,36,3,0,0,7.4958,0
male,S,20,3,1,0,7925,1
male,S,32,2,2,0,73.5,0
male,S,25,2,0,0,13,0
male,S,,3,0,0,7775,0
male,S,43,3,0,0,8.05,0
female,S,,1,1,0,52,1
female,S,40,2,1,1,39,1
male,S,31,1,1,0,52,0
male,S,70,2,0,0,10.5,0
male,S,31,2,0,0,13,1
male,S,,2,0,0,0,0
male,S,18,3,0,0,7775,0
male,S,24.5,3,0,0,8.05,0
female,S,18,3,0,0,9.8417,1
female,S,43,3,1,6,46.9,0
male,C,36,1,0,1,512.3292,1
female,Q,,3,0,0,8.1375,0
male,C,27,1,0,0,76.7292,1
male,S,20,3,0,0,9225,0
male,S,14,3,5,2,46.9,0
male,S,60,2,1,1,39,0
male,C,25,2,1,2,41.5792,0
male,S,14,3,4,1,39.6875,0
male,S,19,3,0,0,10.1708,0
male,S,18,3,0,0,7.7958,0
female,S,15,1,0,1,211.3375,1
male,S,31,1,1,0,57,1
female,C,4,3,0,1,13.4167,1
male,S,,3,0,0,56.4958,1
male,C,25,3,0,0,7225,0
male,S,60,1,0,0,26.55,0
male,S,52,2,0,0,13.5,0
male,S,44,3,0,0,8.05,0
female,Q,,3,0,0,7.7333,1
male,C,49,1,1,1,110.8833,0
male,S,42,3,0,0,7.65,0
female,C,18,1,1,0,227525,1
male,S,35,1,0,0,26.2875,1
female,C,18,3,0,1,14.4542,0
male,Q,25,3,0,0,7.7417,0
male,S,26,3,1,0,7.8542,0
male,S,39,2,0,0,26,0
female,S,45,2,0,0,13.5,1
male,S,42,1,0,0,26.2875,1
female,S,22,1,0,0,151.55,1
male,C,,3,1,1,15.2458,1
female,C,24,1,0,0,49.5042,1
male,S,,1,0,0,26.55,0
male,S,48,1,1,0,52,1
male,S,29,3,0,0,9.4833,0
male,S,52,2,0,0,13,0
male,S,19,3,0,0,7.65,0
female,C,38,1,0,0,227525,1
female,S,27,2,0,0,10.5,1
male,Q,,3,0,0,15.5,0
male,S,33,3,0,0,7775,0
female,S,6,2,0,1,33,1
male,S,17,3,1,0,7.0542,0
male,S,34,2,0,0,13,0
male,S,50,2,0,0,13,0
male,S,27,1,1,0,53.1,1
male,S,20,3,0,0,8.6625,0
female,S,30,2,3,0,21,1
female,Q,,3,0,0,7.7375,1
male,S,25,2,1,0,26,0
female,S,25,3,1,0,7925,0
female,S,29,1,0,0,211.3375,1
male,C,11,3,0,0,18.7875,0
male,S,,2,0,0,0,0
male,S,23,2,0,0,13,0
male,S,23,2,0,0,13,0
male,S,28.5,3,0,0,16.1,0
female,S,48,3,1,3,34375,0
male,C,35,1,0,0,512.3292,1
male,S,,3,0,0,7.8958,0
male,S,,3,0,0,7.8958,0
male,S,,1,0,0,30,1
male,S,36,1,1,0,78.85,0
female,C,21,1,2,2,262375,1
male,S,24,3,1,0,16.1,0
male,S,31,3,0,0,7925,1
male,S,70,1,1,1,71,0
male,S,16,3,1,1,20.25,0
female,S,30,2,0,0,13,1
male,S,19,1,1,0,53.1,0
male,Q,31,3,0,0,7.75,0
female,S,4,2,1,1,23,1
male,S,6,3,0,1,12475,1
male,S,33,3,0,0,9.5,0
male,S,23,3,0,0,7.8958,0
female,S,48,2,1,2,65,1
male,S,0.67,2,1,1,14.5,1
male,S,28,3,0,0,7.7958,0
male,S,18,2,0,0,11.5,0
male,S,34,3,0,0,8.05,0
female,S,33,1,0,0,86.5,1
male,S,,3,0,0,14.5,0
male,S,41,3,0,0,7125,0
male,C,20,3,0,0,7.2292,1
female,S,36,1,1,2,120,1
male,S,16,3,0,0,7775,0
female,S,51,1,1,0,77.9583,1
male,C,,1,0,0,39.6,0
female,Q,30.5,3,0,0,7.75,0
male,Q,,3,1,0,24.15,0
male,S,32,3,0,0,8.3625,0
male,S,24,3,0,0,9.5,0
male,S,48,3,0,0,7.8542,0
female,S,57,2,0,0,10.5,0
male,C,,3,0,0,7225,0
female,S,54,2,1,3,23,1
male,S,18,3,0,0,7.75,0
male,Q,,3,0,0,7.75,0
female,S,5,3,0,0,12475,1
male,Q,,3,0,0,7.7375,0
female,S,43,1,0,1,211.3375,1
female,C,13,3,0,0,7.2292,1
female,S,17,1,1,0,57,1
male,S,29,1,0,0,30,0
male,S,,3,1,2,23.45,0
male,S,25,3,0,0,7.05,0
male,S,25,3,0,0,7.25,0
female,S,18,3,0,0,7.4958,1
male,Q,8,3,4,1,29125,0
male,S,1,3,1,2,20575,1
male,C,46,1,0,0,79.2,0
male,Q,,3,0,0,7.75,0
male,S,16,2,0,0,26,0
female,S,,3,8,2,69.55,0
male,C,,1,0,0,30.6958,0
male,S,25,3,0,0,7.8958,0
male,S,39,2,0,0,13,0
female,S,49,1,0,0,25.9292,1
female,S,31,3,0,0,8.6833,1
male,C,30,3,0,0,7.2292,0
female,S,30,3,1,1,24.15,0
male,S,34,2,0,0,13,0
female,S,31,2,1,1,26.25,1
male,S,11,1,1,2,120,1
male,C,0.42,3,0,1,8.5167,1
male,S,27,3,0,0,6975,1
male,S,31,3,0,0,7775,0
male,S,39,1,0,0,0,0
female,S,18,3,0,0,7775,0
male,S,39,2,0,0,13,0
female,S,33,1,1,0,53.1,1
male,S,26,3,0,0,7.8875,0
male,S,39,3,0,0,24.15,0
male,S,35,2,0,0,10.5,0
female,S,6,3,4,2,31275,0
male,S,30.5,3,0,0,8.05,0
male,S,,1,0,0,0,0
female,S,23,3,0,0,7925,0
male,C,31,2,1,1,37.0042,0
male,S,43,3,0,0,6.45,0
male,S,10,3,3,2,27.9,0
female,S,52,1,1,1,93.5,1
male,S,27,3,0,0,8.6625,1
male,S,38,1,0,0,0,0
female,S,27,3,0,1,12475,1
male,S,2,3,4,1,39.6875,0
male,Q,,3,0,0,6.95,0
male,S,,3,0,0,56.4958,0
male,C,1,2,0,2,37.0042,1
male,Q,,3,0,0,7.75,1
female,Q,62,1,0,0,80,1
female,C,15,3,1,0,14.4542,1
male,S,0.83,2,1,1,18.75,1
male,C,,3,0,0,7.2292,0
male,S,23,3,0,0,7.8542,0
male,S,18,3,0,0,8.3,0
female,C,39,1,1,1,83.1583,1
male,S,21,3,0,0,8.6625,0
male,S,,3,0,0,8.05,0
male,S,32,3,0,0,56.4958,1
male,C,,1,0,0,29.7,1
male,S,20,3,0,0,7925,0
male,S,16,2,0,0,10.5,0
female,C,30,1,0,0,31,1
male,C,34.5,3,0,0,6.4375,0
male,S,17,3,0,0,8.6625,0
male,S,42,3,0,0,7.55,0
male,S,,3,8,2,69.55,0
male,C,35,3,0,0,7.8958,0
male,S,28,2,0,1,33,0
female,C,,1,1,0,89.1042,1
male,S,4,3,4,2,31275,0
male,S,74,3,0,0,7775,0
female,C,9,3,1,1,15.2458,0
female,S,16,1,0,1,39.4,1
female,S,44,2,1,0,26,0
female,S,18,3,0,1,9.35,1
female,S,45,1,1,1,164.8667,1
male,S,51,1,0,0,26.55,1
female,C,24,3,0,3,19.2583,1
male,C,,3,0,0,7.2292,0
male,S,41,3,2,0,14.1083,0
male,S,21,2,1,0,11.5,0
female,S,48,1,0,0,25.9292,1
female,S,,3,8,2,69.55,0
male,S,24,2,0,0,13,0
female,S,42,2,0,0,13,1
female,C,27,2,1,0,13.8583,1
male,S,31,1,0,0,50.4958,0
male,S,,3,0,0,9.5,0
male,S,4,3,1,1,11.1333,1
male,S,26,3,0,0,7.8958,0
female,S,47,1,1,1,52.5542,1
male,S,33,1,0,0,5,0
male,S,47,3,0,0,9,0
female,C,28,2,1,0,24,1
female,C,15,3,0,0,7225,1
male,S,20,3,0,0,9.8458,0
male,S,19,3,0,0,7.8958,0
male,S,,3,0,0,7.8958,0
female,C,56,1,0,1,83.1583,1
female,S,25,2,0,1,26,1
male,S,33,3,0,0,7.8958,0
female,S,22,3,0,0,10.5167,0
male,S,28,2,0,0,10.5,0
male,S,25,3,0,0,7.05,0
female,Q,39,3,0,5,29125,0
male,S,27,2,0,0,13,0
female,S,19,1,0,0,30,1
female,S,,3,1,2,23.45,0
male,C,26,1,0,0,30,1
male,Q,32,3,0,0,7.75,0
